"00002012","EJIDO JOSE MARIA MORELOS","58.7","precipitation"
"00002013","EJIDO PLAN NACIONAL AGRARIO","29.3","max-temperature"
"00002013","EJIDO PLAN NACIONAL AGRARIO","133.8","precipitation"
"00002014","EL ALAMO","23.5","max-temperature"
"00002014","EL ALAMO","289.1","precipitation"
"00002015","EL ARCO","28.5","max-temperature"
"00002015","EL ARCO","111.7","precipitation"
"00002016","EL BARRIL","28.8","max-temperature"
"00002016","EL BARRIL","91.6","precipitation"
"00002017","PLANTA DE BOMBEO ROSARITO","21.3","max-temperature"
"00002017","PLANTA DE BOMBEO ROSARITO","260.7","precipitation"
"00002019","EL COMPADRE","28.8","max-temperature"
"00002019","EL COMPADRE","334.8","precipitation"
"00002020","EL MAYOR","31.1","max-temperature"
"00002020","EL MAYOR","60.8","precipitation"
"00002021","EL PINAL","19.6","max-temperature"
"00002021","EL PINAL","500.3","precipitation"
"00002022","EL ROSARIO","25.2","max-temperature"
"00002022","EL ROSARIO","177.0","precipitation"
"00002023","EL SOCORRO","21.4","max-temperature"
"00002023","EL SOCORRO","121.1","precipitation"
"00002024","EL TESTERAZO","27.4","max-temperature"
"00002024","EL TESTERAZO","260.0","precipitation"
"00002025","ENSENADA","22.4","max-temperature"
"00002025","ENSENADA","246.7","precipitation"
"00002027","ISLA CEDROS","26.0","max-temperature"
"00002027","ISLA CEDROS","52.2","precipitation"
"00002029","LA PROVIDENCIA","27.0","max-temperature"
"00002029","LA PROVIDENCIA","281.9","precipitation"
"00002030","LA PUERTA","25.6","max-temperature"
"00002030","LA PUERTA","353.2","precipitation"
"00002031","LA RUMOROSA","21.6","max-temperature"
"00002031","LA RUMOROSA","156.0","precipitation"
"00002032","LAS ESCOBAS","22.8","max-temperature"
"00002032","LAS ESCOBAS","143.1","precipitation"
"00002033","MEXICALI","31.2","max-temperature"
"00002033","MEXICALI","70.9","precipitation"
"00002034","MEXICALI","31.5","max-temperature"
"00002034","MEXICALI","78.0","precipitation"
"00002035","OJOS NEGROS","26.8","max-temperature"
"00002035","OJOS NEGROS","235.0","precipitation"
"00002036","OLIVARES MEXICANOS","24.9","max-temperature"
"00002036","OLIVARES MEXICANOS","294.5","precipitation"
"00002037","PRESA MORELOS","31.0","max-temperature"
"00002037","PRESA MORELOS","62.8","precipitation"
"00002038","PRESA RODRIGUEZ","23.9","max-temperature"
"00002038","PRESA RODRIGUEZ","237.1","precipitation"
"00002039","PUNTA PRIETA","28.4","max-temperature"
"00002039","PUNTA PRIETA","107.3","precipitation"
"00002040","RANCHO ALEGRE","27.5","max-temperature"
"00002040","RANCHO ALEGRE","124.3","precipitation"
"00002041","NUEVO ROSARITO","25.8","max-temperature"
"00002041","NUEVO ROSARITO","115.3","precipitation"
"00002042","ROSARITO","27.1","max-temperature"
"00002042","ROSARITO","103.4","precipitation"
"00002043","SAN AGUSTIN","27.5","max-temperature"
"00002043","SAN AGUSTIN","116.4","precipitation"
"00002044","SAN BORJA","27.8","max-temperature"
"00002044","SAN BORJA","114.1","precipitation"
"00002045","SAN CARLOS","23.6","max-temperature"
"00002045","SAN CARLOS","302.2","precipitation"
"00002046","SAN FELIPE","30.4","max-temperature"
"00002046","SAN FELIPE","56.4","precipitation"
"00002047","SAN FERNANDO","27.4","max-temperature"
"00002047","SAN FERNANDO","91.1","precipitation"
"00002048","SAN JOSE","27.3","max-temperature"
"00002048","SAN JOSE","178.8","precipitation"
"00002049","SAN JUAN DE DIOS NORTE","21.7","max-temperature"
"00002049","SAN JUAN DE DIOS NORTE","393.2","precipitation"
"00002050","SAN JUAN DE DIOS SUR","25.4","max-temperature"
"00002050","SAN JUAN DE DIOS SUR","170.4","precipitation"
"00002051","SAN LUIS BAJA CALIFORNIA","27.2","max-temperature"
"00002051","SAN LUIS BAJA CALIFORNIA","99.6","precipitation"
"00002053","SAN MIGUEL","27.7","max-temperature"
"00002053","SAN MIGUEL","135.1","precipitation"
"00002054","SAN RAFAEL","25.6","max-temperature"
"00002054","SAN RAFAEL","284.2","precipitation"
"00002055","SAN TELMO","24.3","max-temperature"
"00002055","SAN TELMO","199.2","precipitation"
"00002056","SAN VICENTE","25.9","max-temperature"
"00002056","SAN VICENTE","222.9","precipitation"
"00002057","SANTA CATARINA NORTE","23.0","max-temperature"
"00002057","SANTA CATARINA NORTE","264.6","precipitation"
"00002058","SANTA CATARINA SUR","28.6","max-temperature"
"00002058","SANTA CATARINA SUR","141.2","precipitation"
"00002059","SANTA CLARA","30.5","max-temperature"
"00002059","SANTA CLARA","152.2","precipitation"
"00002060","SANTA CRUZ","23.5","max-temperature"
"00002060","SANTA CRUZ","288.6","precipitation"
"00002061","SANTA GERTRUDIS","29.0","max-temperature"
"00002061","SANTA GERTRUDIS","122.3","precipitation"
"00002062","SANTA ISABEL","20.9","max-temperature"
"00002062","SANTA ISABEL","370.5","precipitation"
"00002063","SANTA MARIA DEL MAR","22.8","max-temperature"
"00002063","SANTA MARIA DEL MAR","166.1","precipitation"
"00002064","SANTO DOMINGO","25.3","max-temperature"
"00002064","SANTO DOMINGO","251.0","precipitation"
"00002065","SANTO TOMAS","27.2","max-temperature"
"00002065","SANTO TOMAS","274.9","precipitation"
"00002066","LAGUNA HANSON A. SIERRA DE JUA","19.1","max-temperature"
"00002066","LAGUNA HANSON A. SIERRA DE JUA","390.9","precipitation"
"00002067","TEPIC","24.5","max-temperature"
"00002067","TEPIC","401.5","precipitation"
"00002068","TIJUANA","23.9","max-temperature"
"00002068","TIJUANA","230.9","precipitation"
"00002069","VALLE DE LAS PALMAS","26.7","max-temperature"
"00002069","VALLE DE LAS PALMAS","212.7","precipitation"
"00002070","VALLE REDONDO","25.9","max-temperature"
"00002070","VALLE REDONDO","315.7","precipitation"
"00002071","COLONIA VALLE DE LA TRINIDAD","26.6","max-temperature"
"00002071","COLONIA VALLE DE LA TRINIDAD","244.4","precipitation"
"00002072","PRESA EMILIO LOPEZ ZAMORA","22.5","max-temperature"
"00002072","PRESA EMILIO LOPEZ ZAMORA","258.0","precipitation"
"00002077","LA MISION","23.3","max-temperature"
"00002077","LA MISION","284.6","precipitation"
"00002079","EL ALAMAR","24.7","max-temperature"
"00002079","EL ALAMAR","265.9","precipitation"
"00002084","EL PROGRESO","28.4","max-temperature"
"00002084","EL PROGRESO","148.9","precipitation"
"00002085","SAN REGIS","27.5","max-temperature"
"00002085","SAN REGIS","144.5","precipitation"
"00002086","EJIDO JACUME","25.2","max-temperature"
"00002086","EJIDO JACUME","239.0","precipitation"
"00002088","EJIDO HEROES DE LA INDEPENDENC","24.9","max-temperature"
"00002088","EJIDO HEROES DE LA INDEPENDENC","299.7","precipitation"
"00002089","EJIDO EMILIO LOPEZ ZAMORA","23.4","max-temperature"
"00002089","EJIDO EMILIO LOPEZ ZAMORA","218.2","precipitation"
"00002090","EJIDO ERENDIRA","21.1","max-temperature"
"00002090","EJIDO ERENDIRA","217.3","precipitation"
"00002091","EJIDO IGNACIO LOPEZ RAYON","24.7","max-temperature"
"00002091","EJIDO IGNACIO LOPEZ RAYON","283.4","precipitation"
"00002092","EJIDO SAN MATIAS","25.2","max-temperature"
"00002092","EJIDO SAN MATIAS","245.3","precipitation"
"00002093","EJIDO VALLE DE LA TRINIDAD","25.3","max-temperature"
"00002093","EJIDO VALLE DE LA TRINIDAD","238.2","precipitation"
"00002095","LA BOCANA DE SANTO TOMAS","21.3","max-temperature"
"00002095","LA BOCANA DE SANTO TOMAS","314.0","precipitation"
"00002096","LA CALENTURA","27.8","max-temperature"
"00002096","LA CALENTURA","233.6","precipitation"
"00002097","LAGUNA SALADA","31.5","max-temperature"
"00002097","LAGUNA SALADA","67.6","precipitation"
"00002099","RANCHO LOS ALGODONES","30.7","max-temperature"
"00002099","RANCHO LOS ALGODONES","71.8","precipitation"
"00002100","EJIDO LEANDRO VALLE","21.9","max-temperature"
"00002100","EJIDO LEANDRO VALLE","414.1","precipitation"
"00002101","EL CENTINELA","31.4","max-temperature"
"00002101","EL CENTINELA","64.4","precipitation"
"00002102","LA VENTANA","30.3","max-temperature"
"00002102","LA VENTANA","38.1","precipitation"
"00002104","El CIPRES","20.9","max-temperature"
"00002104","El CIPRES","209.9","precipitation"
"00002105","SAN PEDRO MARTIR","382.2","precipitation"
"00002106","MANEADERO","22.1","max-temperature"
"00002106","MANEADERO","237.5","precipitation"
"00002107","PERCEBU","28.0","max-temperature"
"00002107","PERCEBU","55.3","precipitation"
"00002108","PUNTA BANDA","20.7","max-temperature"
"00002108","PUNTA BANDA","277.8","precipitation"
"00002109","SANTA ROSALITA","24.9","max-temperature"
"00002109","SANTA ROSALITA","142.9","precipitation"
"00002110","GUAYAQUIL","28.0","max-temperature"
"00002110","GUAYAQUIL","108.5","precipitation"
"00002111","EJIDO NUEVO BAJA CALIFORNIA","23.7","max-temperature"
"00002111","EJIDO NUEVO BAJA CALIFORNIA","159.3","precipitation"
"00002114","EJIDO CARMEN SERDAN","22.9","max-temperature"
"00002114","EJIDO CARMEN SERDAN","292.0","precipitation"
"00002118","VALLE DE SAN RAFAEL","26.2","max-temperature"
"00002118","VALLE DE SAN RAFAEL","278.0","precipitation"
"00002119","CANCIO","25.4","max-temperature"
"00002119","CANCIO","332.2","precipitation"
"00002120","EJIDO MEXICO","22.9","max-temperature"
"00002120","EJIDO MEXICO","195.3","precipitation"
"00002121","EL HONGO","22.4","max-temperature"
"00002121","EL HONGO","324.4","precipitation"
"00002122","REAL DEL CASTILLO VIEJO","259.1","precipitation"
"00002124","EL CARRIZO II","25.2","max-temperature"
"00002124","EL CARRIZO II","244.0","precipitation"
"00002132","EJIDO ZARAHEMILA","135.0","precipitation"
"00002137","COLONIA MARIANA","32.3","max-temperature"
"00002137","COLONIA MARIANA","57.6","precipitation"
"00002138","COLONIA SIETE","34.2","max-temperature"
"00002138","COLONIA SIETE","51.0","precipitation"
"00002139","COLONIA RODRIGUEZ","31.1","max-temperature"
"00002139","COLONIA RODRIGUEZ","43.6","precipitation"
